2024-07-23T16:24:27.040605Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210800,"p":"3474.40","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.040610Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210801,"p":"3474.40","q":"0.230","X":"MARKET","m":false}}
2024-07-23T16:24:27.040615Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210802,"p":"3474.42","q":"0.229","X":"MARKET","m":false}}
2024-07-23T16:24:27.040619Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210803,"p":"3474.42","q":"0.982","X":"MARKET","m":false}}
2024-07-23T16:24:27.040624Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210804,"p":"3473.94","q":"0.003","X":"MARKET","m":true}}
2024-07-23T16:24:27.040634Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067039,"T":1721723067039,"s":"ETHUSDT","t":4229210805,"p":"3474.42","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:24:27.040640Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067044,"T":1721723067044,"s":"ETHUSDT","t":4229210806,"p":"3474.42","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.040644Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067044,"T":1721723067044,"s":"ETHUSDT","t":4229210807,"p":"3474.42","q":"0.044","X":"MARKET","m":false}}
2024-07-23T16:24:27.040650Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067056,"T":1721723067056,"s":"ETHUSDT","t":4229210808,"p":"3474.41","q":"0.021","X":"MARKET","m":true}}
2024-07-23T16:24:27.058308Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067130,"T":1721723067129,"s":"ETHUSDT","t":4229210809,"p":"3474.41","q":"0.100","X":"MARKET","m":true}}
2024-07-23T16:24:27.139546Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067211,"T":1721723067210,"s":"ETHUSDT","t":4229210810,"p":"3474.41","q":"0.001","X":"MARKET","m":true}}
2024-07-23T16:24:27.139587Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067211,"T":1721723067210,"s":"ETHUSDT","t":4229210811,"p":"3474.41","q":"0.007","X":"MARKET","m":true}}
2024-07-23T16:24:27.139608Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067211,"T":1721723067210,"s":"ETHUSDT","t":4229210812,"p":"3474.41","q":"0.567","X":"MARKET","m":true}}
2024-07-23T16:24:27.149601Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067221,"T":1721723067221,"s":"ETHUSDT","t":4229210813,"p":"3474.42","q":"0.220","X":"MARKET","m":false}}
2024-07-23T16:24:27.149637Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067221,"T":1721723067221,"s":"ETHUSDT","t":4229210814,"p":"3474.44","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.149670Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067221,"T":1721723067221,"s":"ETHUSDT","t":4229210815,"p":"3474.46","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.149691Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067221,"T":1721723067221,"s":"ETHUSDT","t":4229210816,"p":"3474.48","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.149724Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067221,"T":1721723067221,"s":"ETHUSDT","t":4229210817,"p":"3474.51","q":"0.006","X":"MARKET","m":false}}
